pixel_id,latitude,longitude,seasonal_heat_days,annual_heat_days,heat_days_difference,seasonal_threshold_mean,annual_percentile,annual_max_temp
0_0,-13.021080043312464,-38.69493086344839,8.0,11.0,-3.0,34.56262295081972,34.6,37.6
0_1,-13.021080043312464,-38.685947710607195,8.0,11.0,-3.0,34.56262295081972,34.6,37.6
0_2,-13.021080043312464,-38.676964557766,8.0,11.0,-3.0,34.5486065573771,34.5,37.6
0_3,-13.021080043312464,-38.6679814049248,8.0,11.0,-3.0,34.58617486338804,34.6,37.6
0_4,-13.021080043312464,-38.658998252083606,8.0,11.0,-3.0,34.652841530054715,34.7,37.6
0_5,-13.021080043312464,-38.65001509924242,8.0,11.0,-3.0,34.67327868852466,34.7,37.6
0_6,-13.021080043312464,-38.64103194640122,0.0,0.0,0.0,31.9,31.9,
0_7,-13.021080043312464,-38.632048793560024,0.0,0.0,0.0,31.9,31.9,
0_8,-13.021080043312464,-38.62306564071883,0.0,0.0,0.0,31.9,31.9,
0_9,-13.021080043312464,-38.61408248787763,0.0,0.0,0.0,31.9,31.9,
0_10,-13.021080043312464,-38.605099335036435,0.0,0.0,0.0,31.9,31.9,
0_11,-13.021080043312464,-38.596116182195246,0.0,0.0,0.0,31.9,31.9,
0_12,-13.021080043312464,-38.58713302935405,0.0,0.0,0.0,31.9,31.9,
0_13,-13.021080043312464,-38.57814987651285,0.0,0.0,0.0,31.9,31.9,
0_14,-13.021080043312464,-38.56916672367166,0.0,0.0,0.0,31.9,31.9,
0_15,-13.021080043312464,-38.56018357083046,0.0,0.0,0.0,31.9,31.9,
0_16,-13.021080043312464,-38.551200417989264,0.0,0.0,0.0,31.9,31.9,
0_17,-13.021080043312464,-38.542217265148075,0.0,0.0,0.0,31.9,31.9,
0_18,-13.021080043312464,-38.53323411230688,0.0,0.0,0.0,31.9,31.9,
0_19,-13.021080043312464,-38.52425095946568,0.0,0.0,0.0,31.9,31.9,
0_20,-13.021080043312464,-38.515267806624486,0.0,0.0,0.0,31.9,31.9,
0_21,-13.021080043312464,-38.50628465378329,0.0,0.0,0.0,31.9,31.9,
0_22,-13.021080043312464,-38.49730150094209,0.0,0.0,0.0,31.9,31.9,
0_23,-13.021080043312464,-38.4883183481009,0.0,0.0,0.0,31.9,31.9,
0_24,-13.021080043312464,-38.47933519525971,0.0,0.0,0.0,31.9,31.9,
0_25,-13.021080043312464,-38.47035204241851,0.0,0.0,0.0,31.9,31.9,
0_26,-13.021080043312464,-38.461368889577315,0.0,0.0,0.0,31.9,31.9,
0_27,-13.021080043312464,-38.45238573673612,0.0,0.0,0.0,31.9,31.9,
0_28,-13.021080043312464,-38.44340258389492,0.0,0.0,0.0,31.9,31.9,
0_29,-13.021080043312464,-38.434419431053726,0.0,0.0,0.0,31.9,31.9,
0_30,-13.021080043312464,-38.42543627821254,0.0,0.0,0.0,31.9,31.9,
0_31,-13.021080043312464,-38.41645312537134,0.0,0.0,0.0,31.9,31.9,
0_32,-13.021080043312464,-38.407469972530144,0.0,0.0,0.0,31.9,31.9,
0_33,-13.021080043312464,-38.39848681968895,0.0,0.0,0.0,31.9,31.9,
0_34,-13.021080043312464,-38.38950366684775,0.0,0.0,0.0,31.9,31.9,
0_35,-13.021080043312464,-38.380520514006555,0.0,0.0,0.0,31.9,31.9,
0_36,-13.021080043312464,-38.37153736116536,0.0,0.0,0.0,31.9,31.9,
0_37,-13.021080043312464,-38.36255420832417,0.0,0.0,0.0,31.9,31.9,
0_38,-13.021080043312464,-38.35357105548297,0.0,0.0,0.0,31.9,31.9,
0_39,-13.021080043312464,-38.34458790264178,0.0,0.0,0.0,31.9,31.9,
0_40,-13.021080043312464,-38.33560474980058,0.0,0.0,0.0,31.9,31.9,
0_41,-13.021080043312464,-38.326621596959384,0.0,0.0,0.0,31.9,31.9,
0_42,-13.021080043312464,-38.31763844411819,0.0,0.0,0.0,31.9,31.9,
0_43,-13.021080043312464,-38.308655291277,0.0,0.0,0.0,31.9,31.9,
1_0,-13.01209689047127,-38.69493086344839,8.0,11.0,-3.0,34.55363387978144,34.5,37.5
1_1,-13.01209689047127,-38.685947710607195,7.0,10.0,-3.0,34.54934426229514,34.5,37.6
1_2,-13.01209689047127,-38.676964557766,8.0,11.0,-3.0,34.55128415300553,34.5,37.6
1_3,-13.01209689047127,-38.6679814049248,8.0,11.0,-3.0,34.59035519125689,34.6,37.6
1_4,-13.01209689047127,-38.658998252083606,8.0,11.0,-3.0,34.646256830601125,34.6,37.6
1_5,-13.01209689047127,-38.65001509924242,8.0,11.0,-3.0,34.67792349726781,34.7,37.6
1_6,-13.01209689047127,-38.64103194640122,0.0,0.0,0.0,31.9,31.9,
1_7,-13.01209689047127,-38.632048793560024,0.0,0.0,0.0,31.9,31.9,
1_8,-13.01209689047127,-38.62306564071883,0.0,0.0,0.0,31.9,31.9,
1_9,-13.01209689047127,-38.61408248787763,0.0,0.0,0.0,31.9,31.9,
1_10,-13.01209689047127,-38.605099335036435,0.0,0.0,0.0,31.9,31.9,
1_11,-13.01209689047127,-38.596116182195246,0.0,0.0,0.0,31.9,31.9,
1_12,-13.01209689047127,-38.58713302935405,0.0,0.0,0.0,31.9,31.9,
1_13,-13.01209689047127,-38.57814987651285,0.0,0.0,0.0,31.9,31.9,
1_14,-13.01209689047127,-38.56916672367166,0.0,0.0,0.0,31.9,31.9,
1_15,-13.01209689047127,-38.56018357083046,0.0,0.0,0.0,31.9,31.9,
1_16,-13.01209689047127,-38.551200417989264,0.0,0.0,0.0,31.9,31.9,
1_17,-13.01209689047127,-38.542217265148075,0.0,0.0,0.0,31.9,31.9,
1_18,-13.01209689047127,-38.53323411230688,0.0,0.0,0.0,31.9,31.9,
1_19,-13.01209689047127,-38.52425095946568,0.0,0.0,0.0,31.9,31.9,
1_20,-13.01209689047127,-38.515267806624486,0.0,0.0,0.0,31.9,31.9,
1_21,-13.01209689047127,-38.50628465378329,0.0,0.0,0.0,31.9,31.9,
1_22,-13.01209689047127,-38.49730150094209,0.0,0.0,0.0,31.9,31.9,
1_23,-13.01209689047127,-38.4883183481009,8.0,11.0,-3.0,34.891666666666644,34.9,37.8
1_24,-13.01209689047127,-38.47933519525971,8.0,12.0,-4.0,34.8782513661202,34.9,37.8
1_25,-13.01209689047127,-38.47035204241851,0.0,0.0,0.0,31.9,31.9,
1_26,-13.01209689047127,-38.461368889577315,0.0,0.0,0.0,31.9,31.9,
1_27,-13.01209689047127,-38.45238573673612,0.0,0.0,0.0,31.9,31.9,
1_28,-13.01209689047127,-38.44340258389492,0.0,0.0,0.0,31.9,31.9,
1_29,-13.01209689047127,-38.434419431053726,0.0,0.0,0.0,31.9,31.9,
1_30,-13.01209689047127,-38.42543627821254,0.0,0.0,0.0,31.9,31.9,
1_31,-13.01209689047127,-38.41645312537134,0.0,0.0,0.0,31.9,31.9,
1_32,-13.01209689047127,-38.407469972530144,0.0,0.0,0.0,31.9,31.9,
1_33,-13.01209689047127,-38.39848681968895,0.0,0.0,0.0,31.9,31.9,
1_34,-13.01209689047127,-38.38950366684775,0.0,0.0,0.0,31.9,31.9,
1_35,-13.01209689047127,-38.380520514006555,0.0,0.0,0.0,31.9,31.9,
1_36,-13.01209689047127,-38.37153736116536,0.0,0.0,0.0,31.9,31.9,
1_37,-13.01209689047127,-38.36255420832417,0.0,0.0,0.0,31.9,31.9,
1_38,-13.01209689047127,-38.35357105548297,0.0,0.0,0.0,31.9,31.9,
1_39,-13.01209689047127,-38.34458790264178,0.0,0.0,0.0,31.9,31.9,
1_40,-13.01209689047127,-38.33560474980058,0.0,0.0,0.0,31.9,31.9,
1_41,-13.01209689047127,-38.326621596959384,0.0,0.0,0.0,31.9,31.9,
1_42,-13.01209689047127,-38.31763844411819,0.0,0.0,0.0,31.9,31.9,
1_43,-13.01209689047127,-38.308655291277,0.0,0.0,0.0,31.9,31.9,
2_0,-13.003113737630073,-38.69493086344839,7.0,10.0,-3.0,34.56620218579237,34.5,37.5
2_1,-13.003113737630073,-38.685947710607195,7.0,10.0,-3.0,34.54316939890716,34.5,37.6
2_2,-13.003113737630073,-38.676964557766,8.0,11.0,-3.0,34.5420765027323,34.5,37.6
2_3,-13.003113737630073,-38.6679814049248,8.0,11.0,-3.0,34.58174863387983,34.6,37.6
2_4,-13.003113737630073,-38.658998252083606,8.0,11.0,-3.0,34.62426229508197,34.6,37.6
2_5,-13.003113737630073,-38.65001509924242,8.0,11.0,-3.0,34.68557377049182,34.7,37.6
2_6,-13.003113737630073,-38.64103194640122,8.0,11.0,-3.0,34.807486338797816,34.8,37.6
2_7,-13.003113737630073,-38.632048793560024,0.0,0.0,0.0,31.9,31.9,
2_8,-13.003113737630073,-38.62306564071883,0.0,0.0,0.0,31.9,31.9,
2_9,-13.003113737630073,-38.61408248787763,0.0,0.0,0.0,31.9,31.9,
2_10,-13.003113737630073,-38.605099335036435,0.0,0.0,0.0,31.9,31.9,
2_11,-13.003113737630073,-38.596116182195246,0.0,0.0,0.0,31.9,31.9,
2_12,-13.003113737630073,-38.58713302935405,0.0,0.0,0.0,31.9,31.9,
2_13,-13.003113737630073,-38.57814987651285,0.0,0.0,0.0,31.9,31.9,
2_14,-13.003113737630073,-38.56916672367166,0.0,0.0,0.0,31.9,31.9,
2_15,-13.003113737630073,-38.56018357083046,0.0,0.0,0.0,31.9,31.9,
2_16,-13.003113737630073,-38.551200417989264,0.0,0.0,0.0,31.9,31.9,
2_17,-13.003113737630073,-38.542217265148075,0.0,0.0,0.0,31.9,31.9,
2_18,-13.003113737630073,-38.53323411230688,0.0,0.0,0.0,31.9,31.9,
2_19,-13.003113737630073,-38.52425095946568,4.0,3.0,1.0,37.324043715847004,37.2,37.7
2_20,-13.003113737630073,-38.515267806624486,4.0,3.0,1.0,37.37680327868851,37.3,37.7
2_21,-13.003113737630073,-38.50628465378329,8.0,12.0,-4.0,34.84770491803276,34.9,37.8
2_22,-13.003113737630073,-38.49730150094209,8.0,12.0,-4.0,34.85830601092892,34.9,37.8
2_23,-13.003113737630073,-38.4883183481009,8.0,11.0,-3.0,34.86412568306012,34.9,37.8
2_24,-13.003113737630073,-38.47933519525971,8.0,11.0,-3.0,34.84161202185798,34.8,37.8
2_25,-13.003113737630073,-38.47035204241851,8.0,11.0,-3.0,34.836830601092856,34.8,37.8
2_26,-13.003113737630073,-38.461368889577315,8.0,11.0,-3.0,34.87336065573769,34.8,37.8
2_27,-13.003113737630073,-38.45238573673612,8.0,11.0,-3.0,34.87336065573769,34.8,37.8
2_28,-13.003113737630073,-38.44340258389492,0.0,0.0,0.0,31.9,31.9,
2_29,-13.003113737630073,-38.434419431053726,0.0,0.0,0.0,31.9,31.9,
2_30,-13.003113737630073,-38.42543627821254,0.0,0.0,0.0,31.9,31.9,
2_31,-13.003113737630073,-38.41645312537134,0.0,0.0,0.0,31.9,31.9,
2_32,-13.003113737630073,-38.407469972530144,0.0,0.0,0.0,31.9,31.9,
2_33,-13.003113737630073,-38.39848681968895,0.0,0.0,0.0,31.9,31.9,
2_34,-13.003113737630073,-38.38950366684775,0.0,0.0,0.0,31.9,31.9,
2_35,-13.003113737630073,-38.380520514006555,0.0,0.0,0.0,31.9,31.9,
2_36,-13.003113737630073,-38.37153736116536,0.0,0.0,0.0,31.9,31.9,
2_37,-13.003113737630073,-38.36255420832417,0.0,0.0,0.0,31.9,31.9,
2_38,-13.003113737630073,-38.35357105548297,0.0,0.0,0.0,31.9,31.9,
2_39,-13.003113737630073,-38.34458790264178,0.0,0.0,0.0,31.9,31.9,
2_40,-13.003113737630073,-38.33560474980058,0.0,0.0,0.0,32.0,32.0,
2_41,-13.003113737630073,-38.326621596959384,0.0,0.0,0.0,32.0,32.0,
2_42,-13.003113737630073,-38.31763844411819,0.0,0.0,0.0,32.0,32.0,
2_43,-13.003113737630073,-38.308655291277,0.0,0.0,0.0,32.0,32.0,
3_0,-12.994130584788879,-38.69493086344839,7.0,9.0,-2.0,34.572814207650275,34.6,37.6
3_1,-12.994130584788879,-38.685947710607195,7.0,9.0,-2.0,34.5482240437159,34.6,37.6
3_2,-12.994130584788879,-38.676964557766,7.0,9.0,-2.0,34.55937158469953,34.6,37.6
3_3,-12.994130584788879,-38.6679814049248,8.0,11.0,-3.0,34.580136612021874,34.6,37.6
3_4,-12.994130584788879,-38.658998252083606,8.0,11.0,-3.0,34.60595628415301,34.6,37.6
3_5,-12.994130584788879,-38.65001509924242,8.0,11.0,-3.0,34.61868852459014,34.6,37.6
3_6,-12.994130584788879,-38.64103194640122,8.0,11.0,-3.0,34.654016393442646,34.7,37.6
3_7,-12.994130584788879,-38.632048793560024,0.0,0.0,0.0,31.9,31.9,
3_8,-12.994130584788879,-38.62306564071883,0.0,0.0,0.0,31.9,31.9,
3_9,-12.994130584788879,-38.61408248787763,0.0,0.0,0.0,31.9,31.9,
3_10,-12.994130584788879,-38.605099335036435,0.0,0.0,0.0,31.9,31.9,
3_11,-12.994130584788879,-38.596116182195246,0.0,0.0,0.0,31.9,31.9,
3_12,-12.994130584788879,-38.58713302935405,0.0,0.0,0.0,31.9,31.9,
3_13,-12.994130584788879,-38.57814987651285,0.0,0.0,0.0,31.9,31.9,
3_14,-12.994130584788879,-38.56916672367166,0.0,0.0,0.0,31.9,31.9,
3_15,-12.994130584788879,-38.56018357083046,0.0,0.0,0.0,31.9,31.9,
3_16,-12.994130584788879,-38.551200417989264,0.0,0.0,0.0,31.9,31.9,
3_17,-12.994130584788879,-38.542217265148075,0.0,0.0,0.0,31.9,31.9,
3_18,-12.994130584788879,-38.53323411230688,0.0,0.0,0.0,31.9,31.9,
3_19,-12.994130584788879,-38.52425095946568,4.0,3.0,1.0,37.31030054644804,37.2,37.7
3_20,-12.994130584788879,-38.515267806624486,4.0,3.0,1.0,37.36054644808746,37.3,37.7
3_21,-12.994130584788879,-38.50628465378329,8.0,12.0,-4.0,34.86918032786882,34.8,37.8
3_22,-12.994130584788879,-38.49730150094209,8.0,12.0,-4.0,34.88592896174864,34.9,37.8
3_23,-12.994130584788879,-38.4883183481009,8.0,11.0,-3.0,34.874890710382495,34.9,37.8
3_24,-12.994130584788879,-38.47933519525971,8.0,11.0,-3.0,34.87814207650272,34.9,37.8
3_25,-12.994130584788879,-38.47035204241851,8.0,11.0,-3.0,34.87814207650272,34.9,37.8
3_26,-12.994130584788879,-38.461368889577315,8.0,11.0,-3.0,34.88204918032785,34.9,37.8
3_27,-12.994130584788879,-38.45238573673612,8.0,11.0,-3.0,34.8936338797814,34.9,37.8
3_28,-12.994130584788879,-38.44340258389492,8.0,11.0,-3.0,34.86057377049182,34.9,37.8
3_29,-12.994130584788879,-38.434419431053726,0.0,0.0,0.0,31.9,31.9,
3_30,-12.994130584788879,-38.42543627821254,0.0,0.0,0.0,31.9,31.9,
3_31,-12.994130584788879,-38.41645312537134,0.0,0.0,0.0,31.9,31.9,
3_32,-12.994130584788879,-38.407469972530144,0.0,0.0,0.0,31.9,31.9,
3_33,-12.994130584788879,-38.39848681968895,0.0,0.0,0.0,31.9,31.9,
3_34,-12.994130584788879,-38.38950366684775,0.0,0.0,0.0,31.9,31.9,
3_35,-12.994130584788879,-38.380520514006555,0.0,0.0,0.0,31.9,31.9,
3_36,-12.994130584788879,-38.37153736116536,0.0,0.0,0.0,31.9,31.9,
3_37,-12.994130584788879,-38.36255420832417,0.0,0.0,0.0,31.9,31.9,
3_38,-12.994130584788879,-38.35357105548297,0.0,0.0,0.0,31.9,31.9,
3_39,-12.994130584788879,-38.34458790264178,0.0,0.0,0.0,31.9,31.9,
3_40,-12.994130584788879,-38.33560474980058,0.0,0.0,0.0,32.0,32.0,
3_41,-12.994130584788879,-38.326621596959384,0.0,0.0,0.0,32.10000000000001,32.1,
3_42,-12.994130584788879,-38.31763844411819,0.0,0.0,0.0,32.300000000000004,32.3,
3_43,-12.994130584788879,-38.308655291277,0.0,0.0,0.0,32.5,32.5,
4_0,-12.985147431947684,-38.69493086344839,8.0,11.0,-3.0,34.5774316939891,34.6,37.6
4_1,-12.985147431947684,-38.685947710607195,8.0,10.0,-2.0,34.56866120218581,34.6,37.6
4_2,-12.985147431947684,-38.676964557766,8.0,10.0,-2.0,34.56319672131153,34.5,37.6
4_3,-12.985147431947684,-38.6679814049248,8.0,11.0,-3.0,34.5541803278689,34.6,37.6
4_4,-12.985147431947684,-38.658998252083606,8.0,11.0,-3.0,34.57554644808746,34.6,37.6
