smod_code,smod_label,population,person_hw_days,mean_hw_days
30,Urban Centre,1155785.216698199,21654385.121042896,18.7356481188644
23,Dense Urban Cluster,302137.0147627426,5340072.4669774575,17.674340468250225
22,Semi-dense Urban Cluster,46142.56089818582,773661.4164910674,16.766763730304476
21,Suburban / Peri-urban,156125.42189887486,2644095.6161407214,16.93571478611182
13,Rural Cluster,97438.01309928317,1601494.5637048187,16.43603469287697
12,Low Density Rural,180162.23673148922,2855058.9295580597,15.847155216068902
11,Very Low Density Rural,219588.86325682714,3643275.6451864457,16.591349812332407
