date,tmax_vito,tmin_vito,tmax_isu,tmin_isu,bias_tmax,bias_tmin
2013-05-13,26.849920794039747,24.33921561347489,25.597872340425535,20.913829787234043,-1.2520484536142114,-3.4253858262408485
2013-05-14,27.10008762159356,25.15061137100571,26.745744680851065,23.377659574468087,-0.3543429407424945,-1.7729517965376225
2013-05-15,26.087854508551743,24.653328877998092,27.199999999999996,22.772872340425533,1.1121454914482527,-1.8804565375725595
2013-05-16,25.98103561793033,24.196177569862186,30.800000000000004,23.8968085106383,4.818964382069673,-0.2993690592238849
2013-05-17,25.892066037969414,24.314198905967714,30.881914893617022,22.97446808510638,4.989848855647608,-1.3397308208613339
2013-05-18,26.263310314101204,24.89592510086385,23.455851063829787,22.120212765957447,-2.8074592502714175,-2.7757123349064017
2013-05-19,25.157893368976033,23.65331254176874,21.716489361702127,23.634042553191488,-3.4414040072739063,-0.019269988577253372
2013-05-20,25.486618400534667,23.721544516224924,23.793617021276596,22.81808510638298,-1.693001379258071,-0.9034594098419433
2013-05-21,27.072079403975124,25.050265835004154,30.059574468085106,21.27872340425532,2.9874950641099822,-3.771542430748834
2013-05-22,27.990704438009004,24.27001707878526,26.300000000000004,23.373936170212765,-1.690704438009,-0.8960809085724932
2013-05-23,28.51983614266976,25.001982129155238,25.201595744680848,21.010106382978723,-3.3182403979889123,-3.9918757461765146
2013-05-24,28.330869037895127,25.11748446820627,24.001595744680852,24.72287234042553,-4.329273293214275,-0.39461212778074284
2013-05-25,27.062070493304645,24.823052152174455,22.46808510638298,25.5531914893617,-4.593985386921666,0.7301393371872464
2013-05-26,26.16424543946937,24.185830796267453,24.97340425531915,22.534042553191487,-1.1908411841502193,-1.6517882430759663
2013-05-27,25.834562510829016,23.620152223954847,22.705319148936166,22.270744680851063,-3.1292433618928506,-1.3494075431037835
2013-05-28,26.520661122249464,24.787526051335362,17.557978723404254,21.66063829787234,-8.96268239884521,-3.1268877534630235
2013-05-29,27.333547436944684,25.160712358604997,21.930319148936167,23.055319148936167,-5.403228288008517,-2.1053932096688293
2013-05-30,29.045916932749208,24.96652434345691,50.28776595744681,24.81276595744681,21.2418490246976,-0.15375838601010017
2013-05-31,27.39982822207378,25.146338704487505,21.604255319148937,23.868085106382978,-5.795572902924842,-1.278253598104527
