date,tmin,tmax,tavg
2018-01-01,22.16091286307054,39.279318936877075,30.720115899973806
2018-01-02,23.865892116182575,25.512707641196013,24.689299878689294
2018-01-03,24.79941908713693,24.366112956810632,24.582766021973782
2018-01-04,24.059502074688798,27.944269102990035,26.001885588839414
2018-01-05,23.858008298755188,14.53654485049834,19.197276574626763
2018-01-06,23.719917012448132,25.36046511627907,24.5401910643636
2018-01-07,23.78381742738589,24.45199335548173,24.11790539143381
2018-01-08,23.72448132780083,23.603903654485052,23.66419249114294
2018-01-09,23.57045643153527,17.520431893687707,20.54544416261149
2018-01-10,24.29070539419087,6.486627906976744,15.388666650583806
2018-01-11,23.111203319502074,21.281312292358805,22.19625780593044
2018-01-12,23.03136929460581,22.0949377593361,22.563153526970957
2018-01-13,23.817925311203318,17.602740863787375,20.710333087495346
2018-01-14,24.282406639004147,19.69360465116279,21.98800564508347
2018-01-15,23.91576763485477,25.248172757475082,24.581970196164924
2018-01-16,22.98182572614108,12.813289036544852,17.897557381342963
2018-01-17,24.216348547717843,25.810880398671095,25.01361447319447
2018-01-18,23.01858921161826,15.20215946843854,19.1103743400284
2018-01-19,25.853858921161827,40.100166112956806,32.977012517059315
2018-01-20,23.93103734439834,27.737873754152826,25.83445554927558
2018-01-21,25.02921161825726,34.89202657807309,29.960619098165175
2018-01-22,23.906804979253113,39.524667774086375,31.715736376669746
2018-01-23,24.27726141078838,33.746345514950164,29.011803462869274
2018-01-24,23.17551867219917,31.674418604651162,27.424968638425167
2018-01-25,22.635933609958506,34.30739202657807,28.47166281826829
2018-01-26,22.498921161825727,32.62558139534884,27.562251278587283
2018-01-27,25.02390041493776,28.310465116279072,26.667182765608416
2018-01-28,24.202240663900415,19.079401993355482,21.64082132862795
2018-01-29,24.324066390041494,17.7702657807309,21.047166085386195
2018-01-30,24.526970954356848,30.760880398671095,27.643925676513973
2018-01-31,22.327385892116183,26.903239202657808,24.615312547386996
2018-02-01,23.26390041493776,27.416196013289035,25.340048214113395
2018-02-02,23.270539419087136,24.624003322259135,23.947271370673135
2018-02-03,22.921576763485476,29.682973421926913,26.302275092706196
2018-02-04,23.67858921161826,21.997923588039868,22.838256399829064
2018-02-05,23.35186721991701,25.163205980066444,24.257536599991727
2018-02-06,23.286721991701246,24.375083056478402,23.830902524089822
2018-02-07,24.151701244813278,19.501661129568106,21.826681187190694
2018-02-08,23.819336099585062,27.255647840531562,25.537491970058312
2018-02-09,23.750539419087136,23.749584717607974,23.750062068347553
2018-02-10,24.240000000000002,19.72732558139535,21.983662790697675
2018-02-11,24.203070539419087,27.455813953488374,25.82944224645373
2018-02-12,23.276680497925312,28.66985049833887,25.973265498132093
2018-02-13,24.000829875518672,28.730398671096346,26.365614273307507
2018-02-14,21.912697095435686,31.61827242524917,26.765484760342428
2018-02-15,23.770290456431535,27.364036544850496,25.567163500641016
2018-02-16,21.862821576763487,28.530897009966775,25.19685929336513
2018-02-17,24.540331950207467,27.428239202657807,25.984285576432637
2018-02-18,23.57402489626556,24.434053156146177,24.004039026205866
2018-02-19,24.221908713692947,26.15440199335548,25.188155353524216
2018-02-20,24.464066390041495,22.457641196013288,23.46085379302739
2018-02-21,24.74248962655602,21.668936877076412,23.205713251816213
2018-02-22,24.081908713692947,14.98297342192691,19.532441067809927
2018-02-23,24.221825726141077,18.524086378737543,21.37295605243931
2018-02-24,23.90746887966805,18.709634551495018,21.308551715581533
2018-02-25,23.707883817427387,26.40083056478405,25.05435719110572
2018-02-26,22.66954356846473,15.61827242524917,19.14390799685695
2018-02-27,22.368215767634855,13.10863070539419,17.73842323651452
2018-02-28,22.93244813278008,23.639285714285716,23.2858669235329
2018-03-01,25.259253112033196,37.20033222591363,31.22979266897341
2018-03-02,24.267634854771785,30.93612956810631,27.601882211439047
2018-03-03,23.66058091286307,30.699999999999996,27.180290456431536
2018-03-04,24.01195020746888,31.481810631229234,27.746880419349058
2018-03-05,21.711203319502076,40.0,30.855601659751038
2018-03-06,23.968464730290457,29.900083056478405,26.93427389338443
2018-03-07,25.870290456431537,34.5,30.185145228215767
2018-03-08,24.39526970954357,32.900415282392025,28.647842495967797
2018-03-09,23.535684647302904,34.867441860465114,29.20156325388401
2018-03-10,24.12771784232365,27.72765780730897,25.92768782481631
2018-03-11,24.252116182572614,34.781229235880396,29.516672709226505
2018-03-12,23.320082987551867,32.99161129568107,28.15584714161647
2018-03-13,23.954024896265558,35.0108803986711,29.482452647468328
2018-03-14,21.896929460580914,34.37549833887043,28.13621389972567
2018-03-15,24.929211618257263,32.05348837209302,28.491349995175142
2018-03-16,23.385311203319503,34.108637873754155,28.74697453853683
2018-03-17,23.988298755186722,28.260132890365448,26.124215822776087
2018-03-18,23.544398340248964,25.410049833887044,24.477224087068002
2018-03-19,23.671701244813278,33.4891196013289,28.58041042307109
2018-03-20,22.994854771784233,36.422259136212624,29.70855695399843
2018-03-21,24.610871369294603,39.7764950166113,32.19368319295295
2018-03-22,23.88124481327801,36.34593023255814,30.113587522918074
2018-03-23,22.344315352697098,34.42483388704319,28.384574619870143
2018-03-24,23.047385892116186,24.874169435215947,23.960777663666065
2018-03-25,22.429958506224065,27.700498338870432,25.06522842254725
2018-03-26,20.91966804979253,23.880980066445183,22.400324058118855
2018-03-27,24.089377593360997,25.662541528239203,24.875959560800098
2018-03-28,23.591120331950208,24.113621262458473,23.85237079720434
2018-03-29,24.09585062240664,29.08563122923588,26.590740925821258
2018-03-30,24.158589211618256,24.368355481727576,24.263472346672916
2018-03-31,23.97941908713693,24.117109634551493,24.04826436084421
2018-04-02,23.459834024896264,18.91171096345515,21.18577249417571
2018-04-03,23.562904564315353,18.255647840531562,20.909276202423456
2018-04-04,24.629211618257262,26.340697674418607,25.484954646337933
2018-04-05,24.684979253112033,8.661960132890366,16.6734696930012
2018-04-06,24.20099585062241,38.811461794019934,31.50622882232117
2018-04-07,24.050373443983403,35.693687707641196,29.8720305758123
2018-04-08,23.5098755186722,27.229568106312293,25.369721812492244
2018-04-09,23.15560165975104,32.86744186046512,28.01152176010808
2018-04-10,22.520995850622405,19.933305647840534,21.22715074923147
2018-04-11,22.659834024896263,25.15847176079734,23.9091528928468
2018-04-12,22.10780082987552,27.0218438538206,24.564822341848057
2018-04-13,23.49253112033195,11.747840531561462,17.620185825946706
2018-04-14,23.78713692946058,32.67275747508306,28.22994720227182
2018-04-15,24.56008298755187,22.03621262458472,23.298147806068293
2018-04-16,23.454273858921162,28.49127906976744,25.9727764643443
2018-04-17,22.911784232365147,22.384136212624586,22.647960222494866
2018-04-18,22.753609958506225,26.94933554817276,24.851472753339493
2018-04-19,21.978174273858922,20.286960132890364,21.13256720337464
2018-04-20,19.824066390041494,27.888870431893686,23.85646841096759
2018-04-21,21.67186721991701,22.46785714285714,22.069862181387077
2018-04-22,23.027717842323653,18.492524916943523,20.76012137963359
2018-04-23,22.06033195020747,16.841860465116277,19.451096207661873
2018-04-24,22.992614107883817,29.629900332225915,26.311257220054866
2018-04-25,21.114273858921162,5.829318936877076,13.47179639789912
2018-04-26,20.88688796680498,21.099750830564787,20.993319398684882
2018-04-27,22.559917012448132,22.824833887043187,22.69237544974566
2018-04-28,21.47294605809129,31.908222591362126,26.690584324726707
2018-04-29,22.217925311203317,24.929318936877074,23.573622124040195
2018-04-30,20.938423236514524,25.786461794019935,23.36244251526723
