pixel_id,latitude,longitude,reference_percentile,heat_days,threshold_used,temperature_trend,seasonal_means,annual_max,annual_min,annual_range
1_12,-13.01209689047127,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_13,-13.01209689047127,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_14,-13.01209689047127,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_15,-13.01209689047127,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_16,-13.01209689047127,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_17,-13.01209689047127,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_18,-13.01209689047127,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_19,-13.01209689047127,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_20,-13.01209689047127,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_21,-13.01209689047127,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_22,-13.01209689047127,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_23,-13.01209689047127,-38.434419431053726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_24,-13.01209689047127,-38.42543627821254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_25,-13.01209689047127,-38.41645312537134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_26,-13.01209689047127,-38.407469972530144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_27,-13.01209689047127,-38.39848681968895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_28,-13.01209689047127,-38.38950366684775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_29,-13.01209689047127,-38.380520514006555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_30,-13.01209689047127,-38.37153736116536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_31,-13.01209689047127,-38.36255420832417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_32,-13.01209689047127,-38.35357105548297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_33,-13.01209689047127,-38.34458790264178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_34,-13.01209689047127,-38.33560474980058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_35,-13.01209689047127,-38.326621596959384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_36,-13.01209689047127,-38.31763844411819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_37,-13.01209689047127,-38.308655291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_0,-13.003113737630073,-38.69493086344839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_1,-13.003113737630073,-38.685947710607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_2,-13.003113737630073,-38.676964557766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_3,-13.003113737630073,-38.6679814049248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_4,-13.003113737630073,-38.658998252083606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_5,-13.003113737630073,-38.65001509924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_6,-13.003113737630073,-38.64103194640122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_7,-13.003113737630073,-38.632048793560024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_8,-13.003113737630073,-38.62306564071883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_9,-13.003113737630073,-38.61408248787763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_10,-13.003113737630073,-38.605099335036435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_11,-13.003113737630073,-38.542217265148075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_12,-13.003113737630073,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_13,-13.003113737630073,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_14,-13.003113737630073,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
