method,mean_heat_days,max_heat_days,min_heat_days,std_heat_days,pixels_with_heat_days,total_pixels
seasonal,3.6225895316804406,9.0,0.0,3.920629470261887,679,1452
annual,4.6570247933884295,13.0,0.0,5.130608088473724,679,1452
