smod_code,smod_label,population,person_hw_days,mean_hw_days
30,Urban Centre,1155785.216698199,36800209.791363105,31.840007347119798
23,Dense Urban Cluster,302137.0147627426,10712577.161419377,35.45602371768842
22,Semi-dense Urban Cluster,46142.560898185824,1618923.4819140516,35.08525427286595
21,Suburban / Peri-urban,156125.42189887483,5144682.847681002,32.95224304350193
13,Rural Cluster,97438.01309928317,3631817.4118632847,37.27310621741324
12,Low Density Rural,180162.23673148922,6249187.193627973,34.686443213633375
11,Very Low Density Rural,219588.86325682714,8538816.971273657,38.88547371952471
